Date;Price;Open;High;Low;Vol.;Change;Vol
Nov132019;8783.1;8813.2;8829.7;8721.1;454.33;-0.0033;454330
Nov122019;8812.6;8737.4;8841.2;8615.7;575.16;0.0087;575160
Nov112019;8736.9;9036.9;9066.4;8649.4;601.16;-0.0332;601160
Nov102019;9036.8;8804.7;9092.9;8763.5;581.57;0.0264;581570
Nov092019;8804.5;8778.1;8877.5;8746.9;512.02;0.003;512020
Nov082019;8778.2;9223.6;9254.8;8722.4;791.79;-0.0483;791790
Nov072019;9223.5;9339.2;9367;9130;603.54;-0.0124;603540
Nov062019;9338.9;9311.2;9424.6;9262.7;578.03;0.003;578030
Nov052019;9310.8;9396.1;9452.7;9193.9;653.42;-0.0091;653420
Nov042019;9396.4;9198.7;9500.4;9134.1;681.01;0.0215;681010
Nov032019;9198.3;9300.5;9359.1;9095;536.56;-0.011;536560
Nov022019;9300.6;9230.3;9356.7;9201.2;570.74;0.0076;570740
Nov012019;9230.1;9153.1;9270.4;9057.2;689.65;0.0085;689650
Oct312019;9152.6;9157.9;9378.9;8959.6;798.93;-0.0006;798930
Oct302019;9157.9;9411.3;9411.3;9018.4;789.73;-0.0269;789730
Oct292019;9411.3;9206.5;9531.3;9125.3;918.48;0.0222;918480
Oct282019;9207.2;9530.1;9866.9;9202.5;1.04;-0.0338;1040000
Oct272019;9529.6;9230.6;9773.2;9081;1.16;0.0324;1160000
Oct262019;9230.6;8658.4;10540;8061.8;1.78;0.0661;1780000
Oct252019;8658.3;7422.8;8697.7;7404.9;1.18;0.1665;1180000
Oct242019;7422.7;7476.8;7501.5;7366.3;586.49;-0.0073;458420
Oct232019;7477;8031;8055;7329.2;892.08;-0.069;633370
Oct222019;8031.4;8207.4;8289.1;8017.7;570.39;-0.0215;765210
Oct212019;8208.2;8224.1;8315.3;8155.7;489.4;-0.0018;749880
Oct202019;8223.4;7957.4;8288.5;7889.6;513.91;0.0334;954200
Oct192019;7957.3;7948.3;8060.2;7892.4;428.83;0.0011;706450
Oct182019;7948.5;8073.3;8116.4;7842;505.79;-0.0155;468340
Oct172019;8073.3;8000.4;8118.2;7944.4;444.95;0.0091;444000
Oct162019;8000.4;8167.1;8185.9;7929.8;538.92;-0.0204;617020
Oct152019;8167.2;8353.4;8400.2;8139.5;469.73;-0.0223;722670
Oct142019;8353.3;8281.3;8374.3;8222.2;505.02;0.0087;509060
Oct132019;8281.5;8304.3;8450.2;8190.6;419.87;-0.0028;540200
Oct122019;8304.4;8267.6;8394.8;8260.9;424.02;0.0044;599060
Oct112019;8267.8;8562.2;8751.1;8249.7;667.86;-0.0344;975010
Oct102019;8562.3;8566.8;8638.5;8438.7;511.46;-0.0005;627740
Oct092019;8566.7;8180.1;8655.9;8122.7;636.43;0.0469;794110
Oct082019;8182.9;8198.5;8323.1;8118.1;469.04;-0.0019;748320
Oct072019;8198.6;7882.6;8293.5;7797;604.74;0.0402;1170
Oct062019;7881.9;8127.3;8145.5;7834.9;448.8;-0.0302;1480
Oct052019;8127.3;8148;8185.1;8030.6;360.92;-0.0025;610660
Oct042019;8148.1;8227.6;8233.6;8041.4;416.92;-0.0096;595220
Oct032019;8226.9;8363.6;8391.7;8090.1;460.97;-0.0164;776750
Oct022019;8364.1;8302.7;8374;8167.7;405.86;0.0074;1050
Oct012019;8302.7;8285;8486.2;8187.9;533.95;0.0022;786500
Sep302019;8284.3;8048.9;8318.5;7749;600.26;0.0292;1190
Sep292019;8049.1;8208;8226.8;7922.1;418.48;-0.0194;1010
Sep282019;8208.5;8184.5;8297.2;8031.1;457.79;0.0029;786750
Sep272019;8184.9;8063.8;8257.4;7882.1;561.4;0.015;628140
Sep262019;8063.8;8432.5;8463.1;7773.6;731.03;-0.0437;523910
Sep252019;8432.4;8512.3;8729.8;8245.1;696.11;-0.0096;936290
Sep242019;8513.9;9702.7;9793.8;8069.4;933.16;-0.1225;632780
Sep232019;9702.2;10031.3;10048.8;9656.3;431.1;-0.0328;420280
Sep222019;10031.6;9993;10075;9870.9;337.06;0.0039;586600
Sep212019;9993;10172.8;10177.9;9939.8;326.17;-0.0177;606110
Sep202019;10172.7;10251.5;10279.5;10088.6;362.07;-0.0076;611690
Sep192019;10250.5;10164.6;10297.6;9707.6;542.25;0.0084;610960
Sep182019;10164.7;10195.7;10257.5;10119.3;318.82;-0.003;718070
Sep172019;10195.7;10254.6;10273.6;10153.5;321.64;-0.0058;795090
Sep162019;10255.5;10311.3;10360.5;10108.5;372.53;-0.0054;625410
Sep152019;10311.5;10337.3;10360.4;10272;255.79;-0.0025;785540
Sep142019;10337.3;10342.2;10421.4;10253.7;326.44;-0.0005;952160
